échantillon,cellule,modèle,n,justesse,justesse_ic_bas,justesse_ic_haut,d_justesse_vs_marché,d_justesse_ic_bas,d_justesse_ic_haut,auc,auc_ic_bas,auc_ic_haut,brier,brier_ic_bas,brier_ic_haut,d_brier_vs_marché,d_brier_ic_bas,d_brier_ic_haut,logloss,p_moyen,p_sd
période complète,Tous 15m,timesfm,750,0.518667,0.483605,0.553311,0.00666667,-0.0381511,0.0542353,0.517644,0.473247,0.558742,0.259648,0.251071,0.268244,0.00932742,0.000625353,0.017747,0.71493,0.496985,0.120807
période complète,Tous 15m,timesfm_cal,750,0.509333,0.473202,0.544008,-0.00266667,-0.0527185,0.0487821,0.50805,0.470879,0.538461,0.250432,0.247383,0.253433,0.000111629,-0.00343426,0.00364151,0.694043,0.487073,0.0415036
période complète,Tous 15m,logit_ind,750,0.5,0.465417,0.534826,-0.012,-0.0498702,0.0273607,0.514724,0.478526,0.549185,0.249723,0.246715,0.252518,-0.00059747,-0.00314463,0.00181484,0.692578,0.499192,0.0404369
période complète,Tous 15m,hgb_ind,750,0.470667,0.434189,0.506076,-0.0413333,-0.0774522,-0.00388684,0.487014,0.444168,0.518758,0.252266,0.249043,0.255409,0.00194544,-0.000585292,0.00438357,0.697703,0.494495,0.0442069
période complète,Tous 15m,logit_ind1s,750,0.505333,0.469626,0.540184,-0.00666667,-0.0466682,0.036,0.519774,0.48588,0.554947,0.2523,0.248427,0.256241,0.00197879,-0.00139933,0.0054141,0.69807,0.485985,0.0506349
période complète,Tous 15m,hgb_ind1s,750,0.508,0.469779,0.544123,-0.004,-0.0481311,0.0380991,0.497333,0.455314,0.534583,0.251872,0.248407,0.255591,0.00155153,-0.0015917,0.00478934,0.696945,0.481939,0.0471881
période complète,Tous 15m,logit_tw,750,0.546667,0.513288,0.581212,0.0346667,-0.0134957,0.086728,0.54188,0.504476,0.580938,0.249137,0.246109,0.252302,-0.00118421,-0.00468934,0.00224041,0.691467,0.497372,0.0439987
période complète,Tous 15m,hgb_tw,750,0.52,0.48387,0.556143,0.008,-0.0417284,0.0600579,0.514166,0.480377,0.553744,0.250018,0.247571,0.252444,-0.000302493,-0.00351338,0.00274455,0.693189,0.495835,0.0346337
période complète,BTC 5m,market,749,0.500668,0.464696,0.53562,0,0,0,0.504783,0.465308,0.547964,0.250078,0.248402,0.251782,0,0,0,0.693315,0.500558,0.0234099
période complète,BTC 5m,timesfm,749,0.508678,0.475165,0.544022,0.00801068,-0.0399467,0.0565314,0.501812,0.470036,0.545686,0.258284,0.251622,0.264878,0.008206,0.00142166,0.0146684,0.710968,0.494848,0.0934635
période complète,BTC 5m,timesfm_cal,749,0.52737,0.491273,0.563615,0.0267023,-0.0252023,0.0762969,0.506065,0.478454,0.530451,0.249494,0.247997,0.25103,-0.000583957,-0.00280876,0.00153456,0.692136,0.491037,0.0193326
période complète,BTC 5m,logit_ind,749,0.479306,0.442945,0.515957,-0.0213618,-0.0599475,0.0182138,0.498636,0.462833,0.536829,0.25149,0.248496,0.254327,0.00141167,-0.00131371,0.0040988,0.696152,0.494376,0.0398028
période complète,BTC 5m,hgb_ind,749,0.510013,0.474733,0.548607,0.00934579,-0.0305892,0.0492027,0.499828,0.451948,0.543384,0.251693,0.248386,0.254904,0.00161418,-0.00134742,0.00454306,0.696575,0.491729,0.0432018
période complète,BTC 5m,logit_ind1s,749,0.531375,0.496021,0.565631,0.0307076,-0.0184977,0.0777339,0.523469,0.480642,0.559565,0.251694,0.246873,0.256735,0.00161594,-0.00308823,0.00615952,0.697156,0.474548,0.0623342
période complète,BTC 5m,hgb_ind1s,749,0.507343,0.472149,0.543017,0.00667557,-0.0385768,0.0525729,0.508199,0.473253,0.551062,0.252695,0.248215,0.257111,0.00261642,-0.0016106,0.00678056,0.698805,0.482546,0.0590989
période complète,BTC 5m,logit_tw,749,0.522029,0.487516,0.558112,0.0213618,-0.0297323,0.072569,0.513838,0.47097,0.557072,0.254137,0.249113,0.259143,0.00405877,-0.00103467,0.00904121,0.702108,0.485308,0.0665522
période complète,BTC 5m,hgb_tw,749,0.504673,0.468496,0.541722,0.00400534,-0.0454575,0.0537671,0.504987,0.463232,0.548739,0.253819,0.249151,0.258463,0.0037408,-0.00105025,0.00825485,0.701308,0.486944,0.0609995
période complète,BTC 15m,market,750,0.512,0.473173,0.548082,0,0,0,0.504587,0.460645,0.545188,0.250321,0.248538,0.252259,0,0,0,0.693796,0.497933,0.0252295
période complète,BTC 15m,timesfm,750,0.518667,0.483605,0.553311,0.00666667,-0.0381511,0.0542353,0.517644,0.473247,0.558742,0.259648,0.251071,0.268244,0.00932742,0.000625353,0.017747,0.71493,0.496985,0.120807
période complète,BTC 15m,timesfm_cal,750,0.509333,0.473202,0.544008,-0.00266667,-0.0527185,0.0487821,0.50805,0.470879,0.538461,0.250432,0.247383,0.253433,0.000111629,-0.00343426,0.00364151,0.694043,0.487073,0.0415036
période complète,BTC 15m,logit_ind,750,0.5,0.465417,0.534826,-0.012,-0.0498702,0.0273607,0.514724,0.478526,0.549185,0.249723,0.246715,0.252518,-0.00059747,-0.00314463,0.00181484,0.692578,0.499192,0.0404369
période complète,BTC 15m,hgb_ind,750,0.470667,0.434189,0.506076,-0.0413333,-0.0774522,-0.00388684,0.487014,0.444168,0.518758,0.252266,0.249043,0.255409,0.00194544,-0.000585292,0.00438357,0.697703,0.494495,0.0442069
période complète,BTC 15m,logit_ind1s,750,0.505333,0.469626,0.540184,-0.00666667,-0.0466682,0.036,0.519774,0.48588,0.554947,0.2523,0.248427,0.256241,0.00197879,-0.00139933,0.0054141,0.69807,0.485985,0.0506349
période complète,BTC 15m,hgb_ind1s,750,0.508,0.469779,0.544123,-0.004,-0.0481311,0.0380991,0.497333,0.455314,0.534583,0.251872,0.248407,0.255591,0.00155153,-0.0015917,0.00478934,0.696945,0.481939,0.0471881
période complète,BTC 15m,logit_tw,750,0.546667,0.513288,0.581212,0.0346667,-0.0134957,0.086728,0.54188,0.504476,0.580938,0.249137,0.246109,0.252302,-0.00118421,-0.00468934,0.00224041,0.691467,0.497372,0.0439987
période complète,BTC 15m,hgb_tw,750,0.52,0.48387,0.556143,0.008,-0.0417284,0.0600579,0.514166,0.480377,0.553744,0.250018,0.247571,0.252444,-0.000302493,-0.00351338,0.00274455,0.693189,0.495835,0.0346337
1re moitié (validation),Tous,market,749,0.518024,0.479338,0.55598,0,0,0,0.513626,0.466415,0.550567,0.250125,0.248257,0.252132,0,0,0,0.693432,0.499893,0.0248867
1re moitié (validation),Tous,timesfm,749,0.512684,0.474503,0.550352,-0.00534045,-0.0558567,0.0478151,0.509824,0.464721,0.552248,0.257817,0.249656,0.265724,0.00769172,-0.000444188,0.0159085,0.709913,0.500534,0.106495
1re moitié (validation),Tous,timesfm_cal,749,0.514019,0.471566,0.553106,-0.00400534,-0.0616198,0.0528416,0.51767,0.47818,0.556798,0.249797,0.247236,0.25245,-0.000328765,-0.00353042,0.00284283,0.692747,0.490255,0.0313855
1re moitié (validation),Tous,logit_ind,749,0.46729,0.42953,0.505279,-0.0507343,-0.0921975,-0.00928321,0.493496,0.450707,0.538164,0.250309,0.246933,0.253543,0.000183859,-0.00282874,0.0030081,0.693751,0.494382,0.0413266
