ticker,model,horizon,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,bss,acc_w,up_rate,p_binom
ETHUSDT,momentum_h,15,87484,29161.333333333332,0.4735837410269306,0.4735796901790666,0.473524363743112,0.25145705271821134,0.6960630550129481,-0.005833259588027051,0.4950755086148911,0.498879795162544,1.0
ETHUSDT,always_up,5,87326,87326.0,0.5000229026864851,0.5,0.5,0.25039908389254056,0.6939459880503929,-0.0015963376716439104,0.4996264391863059,0.5000229026864851,0.49595003133989307
ETHUSDT,always_up,10,87444,43722.0,0.4966835917844563,0.5,0.5,0.2505326563286218,0.6942132755367549,-0.0021747152432700645,0.49946858800814486,0.4966835917844563,0.917992459806234
ETHUSDT,always_up,15,87484,29161.333333333332,0.498879795162544,0.5,0.5,0.25044480819349824,0.694037485471771,-0.0017842611654883545,0.49936850540291305,0.498879795162544,0.6504342205154854
ETHUSDT,majority_prev_day,5,87326,87326.0,0.5023475253647253,0.5023487213050032,0.5023940446321972,0.2503023383642901,0.693752392302767,-0.001209355557830083,0.5034751698742029,0.5000229026864851,0.08317151215839126
ETHUSDT,majority_prev_day,10,87444,43722.0,0.5044371254745894,0.5042001964015005,0.5042001964015006,0.25022251498101644,0.6935926617061589,-0.0009340952726988316,0.5059488224058319,0.4966835917844563,0.03209810083904905
ETHUSDT,majority_prev_day,15,87484,29161.333333333332,0.5023089936445522,0.5023022443281976,0.5023022443281976,0.2503076402542179,0.6937630031401212,-0.001235586654330767,0.5037950480757809,0.498879795162544,0.21631502623902185
XRPUSDT,logit,5,85156,85156.0,0.516334726854244,0.5157883317943159,0.5218318416767891,0.25006481191274293,0.6933055802197667,-0.0004044721341043278,0.5076171554677124,0.49397576213067784,7.800172121895895e-22
XRPUSDT,logit,10,85978,42989.0,0.5221103072879109,0.5217825037363484,0.5282211859269516,0.2500176335758577,0.6932303732246698,-0.00026086462373231534,0.510550734072681,0.49310288678499153,2.4713655597846625e-20
XRPUSDT,logit,15,86255,28751.666666666668,0.521210364616544,0.5211724917911014,0.5299942103407088,0.25021681638046817,0.6936727842838024,-0.0010418200463684357,0.5075372890288795,0.4933974842038143,3.3775861179599576e-13
XRPUSDT,hgb,5,85156,85156.0,0.519869416130396,0.5180418995199562,0.5258255747031644,0.24948604336795774,0.6921195583767638,0.0019109381633497513,0.5104485456230645,0.49397576213067784,2.197760230259227e-31
XRPUSDT,hgb,10,85978,42989.0,0.5200749028821327,0.5178440244030804,0.5275395894474941,0.24939576842599295,0.6919379352057362,0.0022270693815080733,0.5083725607775238,0.49310288678499153,4.19234621881848e-17
