indicator,horizon,family,n_tickers,ic_mean,ic_std,ic_t_cross,frac_same_sign,ic_daily_t_mean,ic_train_mean,ic_test_mean,hit_rate_oos_mean,auc_oos_mean,z_combined,p_combined,q_value,q_value_by
corr_bench_240,10,marche,5,-0.0028647938321119558,0.004634682315140491,-1.3821602678565192,0.8,4.877627205038339,-0.0007309354599278398,-0.006069223337205355,0.5011546689387577,0.5007580708539806,0.21324483884205106,0.831135996134999,0.8784791857882585,1.0
rv_240,10,volatilite,6,-0.002748137061499079,0.0024586913229791463,-2.7378522391122426,0.8333333333333334,1.8414162489515666,-0.002570625677307316,-0.00157308415661178,0.49865983561215604,0.4992332694005592,0.14258453997431736,0.8866183080281453,0.9121063086696115,1.0
oi_x_ret_60,5,derives,6,0.0027408557071532977,0.004071610723244437,1.6489046712626223,0.6666666666666666,-0.19143990572058223,0.0020085371090186404,0.004049431008708551,0.5021396743580623,0.5023508988959277,0.4027022841410521,0.6871672533861906,0.7599796775860519,1.0
corr_bench_240,5,marche,5,-0.00271738338774398,0.003199560146776614,-1.8990904053001505,0.8,4.745270278047025,-0.001016203445677551,-0.00536138219361653,0.5008825262235808,0.5005372346069462,0.1687621947572423,0.8659836959449867,0.9001199827146024,1.0
acf1_60,10,statistique,6,0.0027065861943379337,0.0034885506798428244,1.9004325089203025,0.6666666666666666,0.8855655681804587,0.0023438733799898775,0.00393159435575457,0.5015033620282425,0.5022612677763116,1.8077165080865685,0.07065063396582101,0.09029583575733757,0.6135438999721153
trades_rel_60,5,flux,6,0.002677012937408857,0.0014685158199743396,4.465267341549948,1.0,1.4285862360123087,0.0013325392199636428,0.0047166329232975835,0.4998697974661246,0.49963758447004825,3.206450667480244,0.0013438334469044386,0.0018806160807238095,0.012778446700669669
clv,10,microstructure,6,-0.0026519677698590063,0.007149263816981821,-0.9086205260786689,0.6666666666666666,-3.2064283846654935,-0.0015698885893066655,-0.004518360108615586,0.5049814792837848,0.50495371726428,-6.057402915403664,1.3833678085158352e-09,2.1065874530894636e-09,1.4313881374045602e-08
acf1_60,15,statistique,6,0.00263149781968664,0.00424606919540986,1.518069211977721,0.6666666666666666,0.7408671079216873,0.0018466993565241102,0.004702426362985064,0.5019546215465299,0.5024944407816115,1.5048701043388155,0.13235747571943607,0.16536432751979419,1.0
ls_ratio_accounts_log,15,derives,6,-0.0025012665444389547,0.005029057929715848,-1.2182851798877812,0.6666666666666666,9.257183664632779,-0.0029388242248158266,-0.0015098239472203419,0.5015395999951112,0.5025544222930162,0.6331987138541154,0.5266038855117854,0.6037266513533284,1.0
rv_60,5,volatilite,6,-0.0024323363909460045,0.002840105925476808,-2.097803109093631,0.8333333333333334,1.2556423315414993,-0.0030557739638421098,-0.0012798301833316995,0.49881686307175394,0.5001627616361135,0.3393944710914499,0.7343125831180137,0.8000211248180726,1.0
