market,t_event,t_prev,t0,dP,p_prev,p_event,mid0,phase,delay_first_ms,delay_ask_ms,delay_bid_ms,delay_placebo_ms,delay_50_ms,delay_90_ms,censored_50,censored_90,jump,asset,duration
eth-updown-5m-1790418900,1790419148.6,1790419147.6,1790419148.5786014,0.1744668580686372,0.025381573105419494,0.1998484311740567,0.045,4,16.451597213745117,16.451597213745117,59.1120719909668,336.4145755767822,237.20431327819824,27251.43265724182,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790419175.3,1790419174.3,1790419175.2792146,0.25605872993753565,0.033859058198676746,0.2899177881362124,,4,,,,,,,True,True,0.05,eth,5m
eth-updown-5m-1790418900,1790418888.8,1790418887.8,1790418888.7839587,-0.11601503190289658,0.5187710822635905,0.4027560503606939,0.435,2,12.64190673828125,12.64190673828125,82.22532272338867,500.67615509033203,299.29614067077637,2066.4026737213135,False,False,0.1,eth,5m
eth-updown-5m-1790418900,1790418937.1,1790418936.1,1790418937.0862973,-0.10284960921786873,0.39771508777958176,0.294865478561713,0.245,3,221.41003608703613,221.41003608703613,221.41003608703613,1023.7085819244385,221.41003608703613,,False,True,0.1,eth,5m
eth-updown-5m-1790418900,1790418997.2,1790418996.2,1790418997.028835,0.12421089383405642,0.23775746601963893,0.36196835985369535,0.215,3,10.059833526611328,32.84573554992676,10.059833526611328,2974.365472793579,33.78558158874512,79.76508140563965,False,False,0.1,eth,5m
eth-updown-5m-1790418900,1790419129.1,1790419128.1,1790419129.0156114,-0.1501168966200917,0.37711018761831644,0.22699329099822474,0.065,3,178.969144821167,179.12554740905762,178.969144821167,268.1872844696045,,,True,True,0.1,eth,5m
eth-updown-5m-1790418900,1790419135.6,1790419134.6,1790419135.5241158,-0.1473650407082672,0.1771281357496593,0.02976309504139209,0.035,3,4823.060989379883,4834.065914154053,4823.060989379883,5.080938339233398,,,True,True,0.1,eth,5m
eth-updown-5m-1790418900,1790419148.6,1790419147.6,1790419148.5786014,0.1744668580686372,0.025381573105419494,0.1998484311740567,0.045,4,16.451597213745117,16.451597213745117,59.1120719909668,336.4145755767822,237.20431327819824,27251.43265724182,False,False,0.1,eth,5m
eth-updown-5m-1790418900,1790419175.3,1790419174.3,1790419175.2792146,0.25605872993753565,0.033859058198676746,0.2899177881362124,,4,,,,,,,True,True,0.1,eth,5m
eth-updown-5m-1790419200,1790419175.3,1790419174.3,1790419175.2791736,0.07234547864078844,0.5195483383760784,0.5918938170168668,0.5,2,260.61081886291504,343.5709476470947,260.61081886291504,,491.7416572570801,511.1536979675293,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419199.2,1790419198.2,1790419199.1949294,-0.11032393360011161,0.6373665231926773,0.5270425895925657,0.79,2,808.4766864776611,808.4766864776611,,2867.1605587005615,-132.83944129943848,808.4766864776611,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419239.7,1790419238.7,1790419239.047432,0.05002782246070425,0.5425296216383427,0.592557444099047,0.705,3,103.14154624938965,103.14154624938965,104.49552536010742,647.1970081329346,133.58354568481445,133.58354568481445,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419304.9,1790419303.9,1790419304.8209991,0.12250464829633734,0.6223629314338966,0.744867579730234,0.765,3,118.52192878723145,118.52192878723145,139.26982879638672,2753.5786628723145,118.52192878723145,236.60778999328613,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419344.1,1790419343.1,1790419344.005211,-0.09965159653563005,0.7760686192433943,0.6764170227077643,0.905,3,290.99059104919434,291.81766510009766,290.99059104919434,,298.25901985168457,298.25901985168457,False,False,0.05,eth,5m
