lag_ms,corr,n,asset,horloge,horizon_s
4300,0.3724258457115535,3388,btc,rx,5.0
4400,0.3488493422307056,3388,btc,rx,5.0
4500,0.3399011741061386,3388,btc,rx,5.0
4600,0.31549096228172835,3388,btc,rx,5.0
4700,0.29311862601988115,3387,btc,rx,5.0
4800,0.26065728542307126,3387,btc,rx,5.0
4900,0.2340667150902079,3387,btc,rx,5.0
5000,0.22644330217630856,3387,btc,rx,5.0
5100,0.21792297416318354,3387,btc,rx,5.0
5200,0.21044831509633288,3387,btc,rx,5.0
5300,0.1992938480171615,3387,btc,rx,5.0
5400,0.1810295679341502,3387,btc,rx,5.0
5500,0.17373094892486393,3387,btc,rx,5.0
5600,0.16127113268488413,3387,btc,rx,5.0
5700,0.149990808088438,3386,btc,rx,5.0
5800,0.14015716131412098,3386,btc,rx,5.0
5900,0.13082644246936417,3386,btc,rx,5.0
6000,0.12991841453600494,3386,btc,rx,5.0
6100,0.12978707987001778,3386,btc,rx,5.0
6200,0.13032265255822137,3386,btc,rx,5.0
6300,0.1289038832851864,3386,btc,rx,5.0
6400,0.1292185741982047,3386,btc,rx,5.0
6500,0.12545493962650048,3386,btc,rx,5.0
6600,0.12654668195175062,3386,btc,rx,5.0
6700,0.12367933022833562,3385,btc,rx,5.0
6800,0.11596129645930671,3385,btc,rx,5.0
6900,0.1143887334300662,3385,btc,rx,5.0
7000,0.1114890840593414,3385,btc,rx,5.0
7100,0.11286872086369613,3385,btc,rx,5.0
7200,0.11319767901760545,3385,btc,rx,5.0
7300,0.11214641160333894,3385,btc,rx,5.0
7400,0.11128360482421765,3385,btc,rx,5.0
7500,0.10780494754185443,3385,btc,rx,5.0
7600,0.1148808214066833,3385,btc,rx,5.0
7700,0.11411480740361118,3384,btc,rx,5.0
7800,0.11205375096483693,3384,btc,rx,5.0
7900,0.10991981709114482,3384,btc,rx,5.0
8000,0.10453037205735431,3384,btc,rx,5.0
8100,0.10608596829472286,3384,btc,rx,5.0
8200,0.10624336069004756,3384,btc,rx,5.0
8300,0.10504435057151222,3384,btc,rx,5.0
8400,0.0986938311560753,3384,btc,rx,5.0
8500,0.09667456860308853,3384,btc,rx,5.0
8600,0.10784646735079714,3384,btc,rx,5.0
8700,0.10666927017455122,3383,btc,rx,5.0
8800,0.10546294703172025,3383,btc,rx,5.0
8900,0.10551891513184151,3383,btc,rx,5.0
9000,0.10365178838606502,3383,btc,rx,5.0
9100,0.1045136020151013,3383,btc,rx,5.0
9200,0.10242702555092066,3383,btc,rx,5.0
9300,0.10103845433777921,3383,btc,rx,5.0
9400,0.09739660870356512,3383,btc,rx,5.0
9500,0.09684684321748124,3383,btc,rx,5.0
9600,0.10718760999623943,3383,btc,rx,5.0
9700,0.10802152767631372,3382,btc,rx,5.0
9800,0.10851360103712333,3382,btc,rx,5.0
9900,0.10791840389187332,3382,btc,rx,5.0
10000,0.10482208470827668,3382,btc,rx,5.0
-3000,0.03971872724650513,3406,btc,serveur,1.0
-2900,0.037241581265194314,3406,btc,serveur,1.0
-2800,0.042306590168861354,3406,btc,serveur,1.0
-2700,0.04538337020614109,3406,btc,serveur,1.0
-2600,0.042299152975987055,3406,btc,serveur,1.0
-2500,0.044495138411185305,3406,btc,serveur,1.0
-2400,0.025531300930875703,3406,btc,serveur,1.0
-2300,0.027110273596514706,3406,btc,serveur,1.0
-2200,0.014659744290097655,3406,btc,serveur,1.0
-2100,0.022246733692035652,3406,btc,serveur,1.0
-2000,0.022981593032598037,3406,btc,serveur,1.0
-1900,0.04372254710108193,3406,btc,serveur,1.0
-1800,0.05015912218172895,3406,btc,serveur,1.0
-1700,0.05232896907211916,3406,btc,serveur,1.0
-1600,0.05361696323320474,3406,btc,serveur,1.0
-1500,0.06319040497711009,3406,btc,serveur,1.0
-1400,0.08226549158930527,3406,btc,serveur,1.0
-1300,0.09463194693366551,3406,btc,serveur,1.0
-1200,0.08945403863545878,3406,btc,serveur,1.0
-1100,0.10063500488597177,3406,btc,serveur,1.0
-1000,0.10496335158454556,3406,btc,serveur,1.0
-900,0.09640455569000107,3406,btc,serveur,1.0
-800,0.10200590197710882,3406,btc,serveur,1.0
-700,0.12178280764467204,3406,btc,serveur,1.0
-600,0.1691261851891052,3406,btc,serveur,1.0
-500,0.17114644929238157,3406,btc,serveur,1.0
-400,0.22437615090651605,3406,btc,serveur,1.0
-300,0.3107968621396269,3405,btc,serveur,1.0
-200,0.3724721734550046,3405,btc,serveur,1.0
-100,0.46073449979068887,3405,btc,serveur,1.0
0,0.4849272830291482,3405,btc,serveur,1.0
100,0.526439512050526,3405,btc,serveur,1.0
200,0.5634758717549668,3405,btc,serveur,1.0
300,0.6497842934896213,3405,btc,serveur,1.0
400,0.6619389961597667,3405,btc,serveur,1.0
500,0.6707186089089022,3405,btc,serveur,1.0
600,0.6761212916788514,3405,btc,serveur,1.0
700,0.6747240456999957,3404,btc,serveur,1.0
800,0.6299438535135383,3404,btc,serveur,1.0
900,0.5658137718348817,3404,btc,serveur,1.0
1000,0.5386395352415178,3404,btc,serveur,1.0
1100,0.49570475493839883,3404,btc,serveur,1.0
1200,0.46134876997883395,3404,btc,serveur,1.0
1300,0.3651204802953243,3404,btc,serveur,1.0
1400,0.34995562556737836,3404,btc,serveur,1.0
1500,0.3300332623216844,3404,btc,serveur,1.0
1600,0.2902984394979315,3404,btc,serveur,1.0
1700,0.2449060370040734,3403,btc,serveur,1.0
1800,0.1786975103217272,3403,btc,serveur,1.0
1900,0.12872192348211467,3403,btc,serveur,1.0
2000,0.13504112900600654,3403,btc,serveur,1.0
2100,0.12247200586123437,3403,btc,serveur,1.0
2200,0.11496002208475303,3403,btc,serveur,1.0
