latency_ms,n_opp,n_filled,fill_rate,shares,total,per_opp,per_share,n_groups,margin,trigger,valeur,per_opp_lo,per_opp_hi,per_hour,per_hour_lo,per_hour_hi,hours,mean_edge_fill_c,edge_per_hour
5000,4229,3539,0.8368408607235753,148133.78,-3941.41928049,-0.9319979381626862,-0.026607160638782053,22,0.0,persistante,markout,-1.8434820772882996,-0.09561725677033756,-4591.9447928038835,-8718.832092175036,-531.2276050462168,0.8583333333333333,11.778230467242944,20839.414465382488
0,212,212,1.0,5447.91,708.631764,3.3426026603773584,0.1300740584921557,20,0.0,saut,pnl,0.6088278965578057,6.052272749738438,825.5904046601942,146.8166472862136,1523.197160082524,0.8583333333333333,3.808927121794825,223.77539927481732
25,212,186,0.8773584905660378,5169.73,611.5086040200001,2.8844745472641513,0.11828637163256112,20,0.0,saut,pnl,0.3333786833121964,5.218836105153825,712.4372085669904,81.5756610448543,1385.2714677399022,0.8583333333333333,3.5739106664645566,203.47949993549236
50,212,178,0.839622641509434,4942.99,492.58169368999995,2.323498555141509,0.09965257742580907,20,0.0,saut,pnl,-0.37184950593907273,4.721272342208088,573.8815848815534,-75.60169171864078,1292.066761503495,0.8583333333333333,3.527752704428513,193.91314564236387
100,212,151,0.7122641509433962,4196.639999999999,429.6272709,2.0265437306603773,0.10237410664245683,20,0.0,saut,pnl,-0.6536474426556029,4.414354987698149,500.53662629126217,-148.47709024514552,1210.1497208149513,0.8583333333333333,3.4425583853026374,137.7644992450951
150,212,134,0.6320754716981132,3828.4400000000005,378.58953339000004,1.785799685801887,0.0988887205728704,20,0.0,saut,pnl,-0.5674270040995893,3.781519141532706,441.0751845320389,-125.91005847786404,966.8814475660191,0.8583333333333333,3.3588419492024966,130.86652345198834
200,212,118,0.5566037735849056,3219.9300000000003,446.76446805000006,2.1073795662735852,0.1387497455068899,20,0.0,saut,pnl,0.2210145772000202,3.9051910055761985,520.5022928737865,49.918019523786526,987.9326380395145,0.8583333333333333,3.0123405482062804,101.4099771871356
300,212,98,0.46226415094339623,2933.5599999999995,564.74702934,2.663901081792453,0.19251252039842381,20,0.0,saut,pnl,0.21587335477148176,5.00684530988508,657.957704085437,41.84706314155345,1343.0270856658249,0.8583333333333333,2.5583576898440006,83.06337114490448
500,212,69,0.32547169811320753,2194.2,563.01384667,2.655725691839623,0.25659185428402154,20,0.0,saut,pnl,0.5242892039510432,4.890794422879422,655.9384621398059,130.3865896834951,1250.2235915860192,0.8583333333333333,2.5363343255551682,61.56466599899098
750,212,64,0.3018867924528302,2322.65,515.7545849999999,2.4328046462264146,0.2220543710847523,20,0.0,saut,pnl,0.12595718562682073,4.753659361681336,600.8791281553397,28.859350311844686,1241.8511446823302,0.8583333333333333,2.6124358930836227,64.06977807258909
1000,212,67,0.3160377358490566,2329.72,388.57328328,1.8328928456603772,0.16678969287296327,20,0.0,saut,pnl,-0.2827638298303131,4.022489827148872,452.70673780194176,-63.472624384077704,1024.4582398974756,0.8583333333333333,2.8276592947795804,77.84089131356653
2000,212,65,0.30660377358490565,2562.77,225.47863635000004,1.0635784733490568,0.08798239262594772,20,0.0,saut,pnl,-1.5711530704749581,3.816923548878803,262.69355691262143,-375.5752625606795,984.048103583592,0.8583333333333333,4.0225758430339775,123.72958111934017
