margin,trigger,latency_ms,hour,n_opp,n_filled,shares,pnl,markout,n_markets
0.01,carnet,150,2026-09-26 10:00:00+00:00,525,478,17949.53,-998.9493422799999,-361.48169228,12
0.01,carnet,150,2026-09-26 11:00:00+00:00,492,471,19933.45,-1937.35273532,-560.5559353200001,11
0.01,carnet,200,2026-09-26 10:00:00+00:00,525,472,17390.96,-913.3934967399998,-363.21804674,12
0.01,carnet,200,2026-09-26 11:00:00+00:00,492,468,20261.77,-1893.7984973500002,-581.5322473500001,11
0.01,carnet,300,2026-09-26 10:00:00+00:00,525,459,17804.51,-817.8549958599999,-393.91724586000004,12
0.01,carnet,300,2026-09-26 11:00:00+00:00,492,468,20051.26,-1893.9199023,-574.5846023000001,11
0.01,carnet,500,2026-09-26 10:00:00+00:00,525,441,17265.68,-960.24603057,-280.9289305700001,12
0.01,carnet,500,2026-09-26 11:00:00+00:00,492,455,18924.8,-1454.55731283,-460.2597628300001,11
0.01,carnet,750,2026-09-26 10:00:00+00:00,525,438,16954.03,-1420.23409491,-204.03979491000007,12
0.01,carnet,750,2026-09-26 11:00:00+00:00,492,440,19082.16,-2021.4890850800002,-485.4948850800002,11
0.01,carnet,1000,2026-09-26 10:00:00+00:00,525,412,16841.5,-992.68034794,-200.24824794000008,12
0.01,carnet,1000,2026-09-26 11:00:00+00:00,492,436,18128.69,-1656.3727450000001,-389.5786950000002,11
0.01,carnet,2000,2026-09-26 10:00:00+00:00,525,389,15398.17,-1100.4395207300001,-158.1774707300001,12
0.01,carnet,2000,2026-09-26 11:00:00+00:00,492,416,17940.07,-1680.6659719300005,-479.65952193000015,11
0.01,carnet,5000,2026-09-26 10:00:00+00:00,525,352,14390.99,-1052.6339874700002,-131.42303746999994,12
0.01,carnet,5000,2026-09-26 11:00:00+00:00,492,385,15134.33,-73.25577754,-400.2064775400001,11
0.01,persistante,0,2026-09-26 10:00:00+00:00,2009,2009,40432.07,-955.0097158099999,-783.7926158100001,11
0.01,persistante,0,2026-09-26 11:00:00+00:00,1727,1727,36443.68,-2470.2642676699998,-1346.5951176700003,11
0.01,persistante,25,2026-09-26 10:00:00+00:00,2009,1980,66484.9,35.058387409998886,-1250.25256259,11
0.01,persistante,25,2026-09-26 11:00:00+00:00,1727,1707,60757.26,-4035.14674709,-2350.7800970900003,11
0.01,persistante,50,2026-09-26 10:00:00+00:00,2009,1970,69992.55,-161.2266606000003,-1275.5946606,11
0.01,persistante,50,2026-09-26 11:00:00+00:00,1727,1702,65504.77,-3842.9675867500005,-2332.0286867500004,11
0.01,persistante,100,2026-09-26 10:00:00+00:00,2009,1955,73651.57,325.30432863000044,-1248.12252137,11
0.01,persistante,100,2026-09-26 11:00:00+00:00,1727,1686,69042.57,-3934.83668724,-2358.74138724,11
0.01,persistante,150,2026-09-26 10:00:00+00:00,2009,1942,74133.88,330.01653087999966,-1126.15981912,11
