group,K,lookback_h,delay_s,price_estimator,n_events,n_filled,n_discarded_no_trade_10s,n_wallets,n_slots,mean_price,mean_wait_s,win_rate,pnl_gross_per_share,mean_fee_per_share,pnl_per_share,pnl_lo,pnl_hi,pnl_se,pnl_bonf_lo,pnl_bonf_hi,roi,roi_lo,roi_hi,pnl_per_share_size_weighted,pnl_sw_lo,pnl_sw_hi,leader_own_pnl_per_share_same_events,leader_own_lo,leader_own_hi,leader_own_pnl_per_share_all_events,leader_price_mean,leader_taker_share
hors_echantillon,10,1,2,vwap,40014,37297,2717,143,167,0.5181084770684847,1.267286913156554,0.5144113467571119,-0.003697130311372918,0.01230999640750424,-0.01600712671887716,-0.02422586971434888,-0.008317173280638458,0.0040443267436701515,-0.03059880088505638,-0.001415452552697937,-0.0301782979276301,-0.045841476511052956,-0.015602933732094237,-0.011694796167354932,-0.03207657213317242,0.007275994979563747,4.5440842403607976e-05,-0.007861014047534717,0.008044889168721222,-0.0006519257525612658,0.5089838701016213,0.5541556653580284
hors_echantillon,10,1,2,best,40014,37297,2717,143,167,0.5156559749366276,1.267286913156554,0.5144113467571119,-0.00124462817951577,0.012342508166332087,-0.01358713634584786,-0.02186237639923856,-0.005817682669492291,0.0040709349720645955,-0.028274811311042314,0.0011005386193465947,-0.02573328670567103,-0.04162645621987259,-0.010924191263856901,-0.008905576740054329,-0.029113785715007764,0.010354253391103756,4.5440842403607976e-05,-0.007861014047534717,0.008044889168721222,-0.0006519257525612658,0.5089838701016213,0.5541556653580284
hors_echantillon,10,1,3,first,40014,37150,2864,143,167,0.5162583409640673,0.905114401076716,0.5147510094212652,-0.0015073315428021537,0.012297144972475636,-0.01380447651527779,-0.02196249474369657,-0.005967657415182276,0.004143041612334773,-0.028752307661395825,0.0011433546308402456,-0.026117364936280547,-0.04151008932203304,-0.011290639068075878,-0.00910253054160859,-0.028150419644195387,0.009814290614205369,0.00037986095089388017,-0.007443153265994794,0.008454757168863613,-0.0006519257525612658,0.508998082063744,0.5532572928579904
hors_echantillon,10,1,3,vwap,40014,37150,2864,143,167,0.5181815519118365,0.905114401076716,0.5147510094212652,-0.003430542490571238,0.012263333798113157,-0.015693876288684402,-0.023908755188113077,-0.008036152769526338,0.004053688405513555,-0.03031932673653688,-0.001068425840831921,-0.029586252429749896,-0.04513905249652443,-0.015075483117608094,-0.010725053412226055,-0.02926435142278518,0.007788442000616911,0.00037986095089388017,-0.007443153265994794,0.008454757168863613,-0.0006519257525612658,0.508998082063744,0.5532572928579904
hors_echantillon,10,1,3,best,40014,37150,2864,143,167,0.5157383544228747,0.905114401076716,0.5147510094212652,-0.0009873450016096822,0.012296225759998261,-0.013283570761607945,-0.021570055028678203,-0.005528586582285641,0.004060634211765185,-0.027934081237511774,0.0013669397142958856,-0.025156630380168427,-0.04099717311924828,-0.010557211435778193,-0.00854119858469208,-0.027259746579791286,0.009949453891375309,0.00037986095089388017,-0.007443153265994794,0.008454757168863613,-0.0006519257525612658,0.508998082063744,0.5532572928579904
hors_echantillon,10,1,5,first,40014,36815,3199,142,167,0.5154865314582019,1.3641993752546517,0.5140567703381774,-0.0014297611200244477,0.012166500439836513,-0.013596261559860963,-0.02186306372327557,-0.0057761465768968985,0.004085056981104815,-0.0283348878372384,0.0011423647175164715,-0.025767428097500735,-0.04142771112120353,-0.010860661087128262,-0.007648208924241707,-0.027767286290945447,0.01062691641120916,0.00046037899559256624,-0.007480202737129667,0.008283333720058237,-0.0006519257525612658,0.5082131513496871,0.5535667233905628
hors_echantillon,10,1,5,vwap,40014,36815,3199,142,167,0.517286474311928,1.3641993752546517,0.5140567703381774,-0.003229703973750491,0.012142294814030006,-0.015371998787780502,-0.0234663505416908,-0.007800853252617181,0.003935158865600498,-0.029569802179621643,-0.0011741953959393606,-0.029035065119635203,-0.04448053031905982,-0.0147818822222101,-0.00911378382336834,-0.027664997035976364,0.009242208305676066,0.00046037899559256624,-0.007480202737129667,0.008283333720058237,-0.0006519257525612658,0.5082131513496871,0.5535667233905628
hors_echantillon,10,1,5,best,40014,36815,3199,142,167,0.5149663701074019,1.3641993752546517,0.5140567703381774,-0.000909599769224493,0.012165950896980493,-0.013075550666204987,-0.02112991529896282,-0.005504409168892319,0.003932633447744699,-0.027264242510730386,0.001113141178320412,-0.02480506344458488,-0.04026537529878481,-0.010436690325696253,-0.007124534625098882,-0.025762039247006072,0.011255308710525833,0.00046037899559256624,-0.007480202737129667,0.008283333720058237,-0.0006519257525612658,0.5082131513496871,0.5535667233905628
hors_echantillon,10,1,10,first,40014,35964,4050,140,167,0.5131944276266794,1.4580969858747637,0.5125125125125125,-0.0006819151141669452,0.011941044919731433,-0.012622960033898378,-0.021220386733542144,-0.0049159285185634265,0.004165616832492222,-0.027652241141319076,0.0024063210735223214,-0.024037530682680698,-0.0405979884205051,-0.009319154443066852,-0.007631818370658216,-0.028160050614220902,0.011319159854149094,0.0006126590365399533,-0.007400494725523899,0.008572857496287079,-0.0006519257525612658,0.5064871223738172,0.5511562231611232
hors_echantillon,10,1,10,vwap,40014,35964,4050,140,167,0.5151131882815849,1.4580969858747637,0.5125125125125125,-0.0026006757690723477,0.011918274985545752,-0.014518950754618102,-0.022704514672995686,-0.006825948957779514,0.004095797324408873,-0.029296327508863164,0.00025842599962696243,-0.027548546465543822,-0.043194867636756416,-0.012980722436805928,-0.009657661835024244,-0.029221357753444848,0.008903147650096688,0.0006126590365399533,-0.007400494725523899,0.008572857496287079,-0.0006519257525612658,0.5064871223738172,0.5511562231611232
