wallet,n_hours_top10,pnl_in_top10_hours,n_hours_active,pnl_48h,pnl_incl_rebate_48h,volume_48h,markets_per_active_hour,name,pseudonym,taker_share_48h,pnl_outside_top10_hours
0x7e5d2991c2647de2348287e2f499329fc6a6c4c3,2,1825.9460999926262,48,1891.8507959985066,2284.6201922228015,102369.32429000149,7.416666666666667,aswfadq1555,Big-Hearted-Warning-Fingernail,0.2972040801383297,65.9046960058804
0x41e2e1ccf1e4940029af02259a31c6b89b9fa354,2,904.8644960110703,48,1558.057273008965,1649.6740568395844,300558.57865299104,39.208333333333336,norm1e69,Improbable-Harmonica,0.9488746095358088,653.1927769978947
0xbadb9af986ee66437bd39e6cd3d3036cbbdc31a7,2,3701.461536971076,14,1488.6563549761913,1509.4210675649906,29302.70619501236,3.857142857142857,0xBadB9af986EE66437BD39E6cd3D3036CbbDc31a,Swift-Census,0.7250336729522577,-2212.8051819948846
0xc9def225cd0f39976dfb61396346f6416564bfb4,2,1228.4644170211895,6,761.5656800872583,761.5656800872583,7305.772895912742,4.833333333333333,Superopa,Different-Hyphenation-Diplomacy,1.0,-466.8987369339312
0xe29042f5d913dcc4015aab3455c13c58514ca33f,2,1905.4015920027641,48,649.6534590624495,1484.0525589131514,173775.14301193756,11.979166666666666,stepahead,Windy-Turban,0.0,-1255.7481329403145
0xdf0d2ccfe3d7c2ef120395534e43afe283509f79,2,1805.7270390009353,47,518.6376110034553,593.1135782544304,8647.032400996544,5.48936170212766,0xdf0D2CcfE3d7C2EF120395534e43Afe283509F79-1774320078733,Slow-Minute,0.0,-1287.08942799748
0x03f1a9997a7207f03b32c7e203fc88ff67c4e633,2,1030.5527540056773,40,402.71203596203696,402.71203596203696,10922.808699002808,1.875,pipi5673,Late-Sniffle-Antiquity,1.0,-627.8407180436404
0x610f7cf3247925d19e21a1f98c57fb1b811e6718,2,1159.0165899571443,22,331.629953918859,353.76840537619876,10068.606746081141,2.5,microwaveshepard,Fussy-Diarist,0.6510779758717814,-827.3866360382854
0x568b079891fcc8bef2e557fa2a8a7ecca1700b3b,2,788.1671700001752,48,322.8245890278847,857.1959740672868,129097.22468197212,11.979166666666666,,,0.0,-465.34258097229053
0x70018e544f223dee25aafd71047e872732c52aba,2,1925.931793055444,20,201.8574870560051,233.49212536125944,35349.95776113116,7.0,Bplnt,Visible-Rack,0.6824610236918247,-1724.0743059994388
0x36223d8d3540f862c6a2210218c9383349bd3fac,2,979.3843200379747,7,167.2128691411799,189.52832447896617,18346.161397979755,1.7142857142857142,Lorolorota09,Sweet-Number,0.5443572680591333,-812.1714508967948
0x55aeeb3eb4e8cc0da6d9e4939caf533bf6c3f5df,2,1835.7272959999996,35,-29.129291999998905,40.93510404115426,176923.207902,10.6,animal00,Artistic-Design,0.2486671766904056,-1864.8565879999985
0xcb43452d00c374e826641e9e3bddff3394ec98b0,2,1084.59985,23,-185.0639680321214,-158.5308124961881,15614.329100044337,1.9565217391304348,f0008,Popular-Civilization-Strudel,0.6094977849551798,-1269.6638180321215
0x1b414826a2c991d5ae1669a754291626d0df0b56,2,1009.1319559983942,41,-318.8955030603269,-246.7811207797002,81816.38979006033,37.41463414634146,Kathod-Shi-14,Compassionate-Restriction-Junker,0.7673226870331339,-1328.0274590587212
0x9783f45ce35f794be38ca47dd0816a5c241383b9,2,1451.864486001074,25,-471.6383010078242,-471.6383010078242,7863.6880860078245,1.32,0x9783F45CE35F794BE38cA47dD0816A5C241383B9-1766113722324,Acidic-Colonisation,1.0,-1923.5027870088984
0xd84c2713e2b58beb1d9dc4421aabd778573ee0a5,2,3519.999199999904,8,-473.1503299895702,-403.6079847343681,12047.01638296653,1.75,0x66666666666,Prize-Snowstorm,0.22466584372350298,-3993.149529989474
0x6f8bfc48625a6d2adde508abad216ca33110a588,2,2019.5573720721302,5,-687.9157649067033,-676.3586033165152,16227.19495585328,2.8,Sufix,Warmhearted-Crow,0.921789454588585,-2707.4731369788333
0x2f8b35dc9eaee0c4550ccd9afde7ac54d91dba14,2,1026.7547149776049,48,-1155.2746499465043,-1121.8406591808834,20139.216882946504,3.875,Robotron.4,Muffled-Bit-Spreadsheet,0.7569758937794734,-2182.0293649241094
0xaa1a4f31c010d4a63fc49770d4ca2d69ea370602,2,1380.0748789973834,43,-1834.458795963133,-190.5458901874521,352436.4212359631,11.604651162790697,hdueilqhsdn,Downright-Scheduling,0.0,-3214.5336749605167
0xf2086f01a60d6f31c64bf32cec920a7f483e314e,2,1987.149529970426,5,-2170.382875952346,-2170.382875952346,48154.01968892968,8.4,spacezeus,Rotten-Congregation,1.0,-4157.532405922771
0x04714bc0feb1dc76688370dc363e6166f9807225,2,1233.8286929626584,35,-2837.734306337617,-2834.24263298773,101109.93977507197,5.257142857142857,lyfanshen,Famous-Algebra-Shirt,0.9828436907008304,-4071.5629993002754
0x9595b9d67a821bebac4627a1f5c9a5540dc42008,2,3746.9986739889787,11,-3770.59235699002,-3633.4496440337884,73924.53065399002,3.272727272727273,ghuhkhh6769vggvuyyug.,Mundane-Junker-Penicillin,0.7856436398881947,-7517.591030978999
0xb4077d7ecb09e5478305fb0c71bc176a5eda252c,2,1133.7414070505538,6,-3821.754718866144,-3821.754718866144,57989.847357120365,4.666666666666667,0xB4077D7ecB09E5478305fB0c71Bc176a5EDa252c-1772320937442,Expensive-Arrest,1.0,-4955.496125916698
0x03571aa3cdff1f00df80e4f8340c3f8783bca7d7,1,10032.65009003909,3,9950.171293060303,9982.669804089648,9041.885468939698,2.0,FennMeazell4035,Easy-Theme-Advertisement,0.5505837822307815,-82.4787969787867
0xa82365c8e854728c472812fba6202ca125386215,1,3976.8195700011556,33,3925.884001063664,3953.630084875856,22527.773343928704,4.090909090909091,mihaXd,Monthly-Lollipop,0.8068206022604907,-50.93556893749155
0xb0f85baa97990910a3e8ac2b4a58a322f01ecef5,1,536.3277550001366,48,3450.2410490102598,3586.5866366010996,74815.09427798975,22.625,pspspsps5,Fearless-Omega,0.0,2913.913294010123
