group,t_rel_s,n_fills,share_of_group_fills,notional,share_of_group_notional
top10_heure,37,93,0.001042635963092929,4663.054050951529,0.0016906313912506204
top10_heure,38,409,0.004585356009731269,11800.44079901074,0.004278353934441557
top10_heure,39,312,0.003497875489085956,11212.202170916327,0.004065082829424089
top10_heure,40,52,0.0005829792481809926,2051.1223579381585,0.000743652509221641
top10_heure,41,405,0.004540511452178885,15723.80880100366,0.005700805621923917
top10_heure,42,295,0.0033072861194883237,6928.2933659447335,0.0025119138925420413
top10_heure,43,75,0.0008408354541072009,2793.7659240163184,0.0010129044869176406
top10_heure,44,334,0.003744520555624068,7515.3349430286635,0.00272475099615332
top10_heure,45,353,0.003957532203997892,9643.11270305892,0.0034961955977825952
top10_heure,46,65,0.0007287240602262408,4510.740909939299,0.0016354089180213617
top10_heure,47,398,0.004462033476462213,8985.751778956623,0.003257863594437689
top10_heure,48,421,0.0047198896823884215,9814.036506894834,0.003558165531032242
top10_heure,49,68,0.0007623574783905289,891.6502049921838,0.00032327564941419254
top10_heure,50,339,0.0038005762525645482,8060.093940074524,0.002922258177285823
top10_heure,51,343,0.0038454208101169323,14097.43216901905,0.005111148423447188
top10_heure,52,101,0.0011323250781976972,2678.6715149822708,0.0009711759933715077
top10_heure,53,297,0.003329708398264516,9596.353438070784,0.003479242613674548
top10_heure,54,343,0.0038454208101169323,8528.028471013033,0.0030919119703602025
top10_heure,55,86,0.000964157987376257,1827.8184389997764,0.0006626917030586766
top10_heure,56,349,0.003912687646445508,11448.820505138747,0.004150870894329796
top10_heure,57,277,0.0031054856105025954,5581.26417899631,0.002023536575122549
top10_heure,58,96,0.0010762693812572171,3985.1209169035365,0.001444840751668269
top10_heure,59,355,0.0039799544827740846,10960.587566789834,0.003973857734543075
top10_heure,60,287,0.0032175970043835556,7895.803916090027,0.0028626933794553477
autres,-60,587,0.0001703234956764817,5892.129480036149,0.00016612718608909437
autres,-59,71,2.060130867637172e-05,759.7646480096902,2.1421383133462084e-05
autres,-58,1187,0.00034441906195567935,12725.348946104761,0.000358788179991801
autres,-57,3419,0.0009920545685142945,18221.79317597066,0.0005137591147781253
autres,-56,339,9.836399494774666e-05,2776.9740340064873,7.829612089738878e-05
autres,-55,2293,0.000665335222463667,18626.266319006372,0.0005251631386253274
autres,-54,1917,0.0005562353342620364,15919.535073950416,0.00044884749641750914
autres,-53,319,9.256080940510675e-05,2083.8742470019984,5.8754337628006174e-05
autres,-52,1922,0.0005576861306476965,22236.155567219386,0.0006269431054320353
autres,-51,1584,0.00045961229497708175,13314.865562023626,0.00037540946044519076
autres,-50,250,7.253981928299902e-05,2416.0708259919993,6.812054098165241e-05
autres,-49,1672,0.0004851463113646974,16750.42296607605,0.0004722741824640425
autres,-48,1485,0.00043088652654101414,14760.851743936128,0.0004161786961415121
autres,-47,401,0.00011635387012993042,5884.470344946115,0.00016591123860106057
autres,-46,1853,0.0005376651405255887,20043.44715903995,0.0005651202145741596
autres,-45,2051,0.000595116677397724,22916.592998027565,0.00064612787658699
autres,-44,413,0.00011983578145551437,4711.551952999535,0.00013284108414732048
autres,-43,2218,0.0006435732766787673,28342.083435841407,0.0007990982861207893
autres,-42,1763,0.000511550805583709,16945.150057094994,0.0004777644663751309
autres,-41,319,9.256080940510675e-05,2782.8451749959286,7.846165631798891e-05
