cut_s,slug,flow_usd,p_market,resolved_up
30,btc-updown-5m-1790236200,341.5709079779516,0.36601877839877117,True
30,eth-updown-5m-1790236200,-49.99999999835984,0.4710162623129421,True
30,sol-updown-5m-1790236200,2.3,0.2347928553387207,True
30,btc-updown-5m-1790236500,-576.5038289839665,0.4765400574573235,False
30,eth-updown-5m-1790236500,-8.8,0.37873734869105474,False
30,sol-updown-5m-1790236500,5.0,0.544067383893234,False
30,btc-updown-5m-1790236800,7.5649999999999995,0.6004306988349618,True
30,btc-updown-15m-1790236800,17.349999999999998,0.531528135369962,False
30,eth-updown-5m-1790236800,2.9,0.5788236578458494,False
30,btc-updown-5m-1790237100,292.40897600608736,0.6063116086547716,False
30,eth-updown-5m-1790237100,22.72149999882501,0.5163357717800049,False
30,btc-updown-5m-1790237400,-1455.648034986861,0.3756258773553487,False
30,eth-updown-5m-1790237400,-31.41800100177713,0.36144072385641685,False
30,btc-updown-5m-1790237700,-5.961568999901705,0.4283885632019123,False
30,btc-updown-15m-1790237700,14.7,0.4699999944,False
30,eth-updown-5m-1790237700,-2.2800000000000002,0.475640235290696,False
30,sol-updown-5m-1790237700,-6.24,0.385,False
30,btc-updown-5m-1790238000,-742.2354759992252,0.3372738848416306,False
30,eth-updown-5m-1790238000,-6.8999999999999995,0.3236950792674096,False
30,btc-updown-5m-1790238300,735.9762319944882,0.6032191909463589,False
30,eth-updown-5m-1790238300,109.38000000328901,0.670222793392445,False
30,sol-updown-5m-1790238300,41.89999899908143,0.6053359660813761,False
30,btc-updown-5m-1790238600,-372.18615300001574,0.22671791477388722,False
30,btc-updown-15m-1790238600,-17.793392994955497,0.3012520180628862,False
30,eth-updown-5m-1790238600,150.64370001138835,0.42167669902521376,True
30,eth-updown-15m-1790238600,91.70000000034186,0.4910190982060263,False
30,sol-updown-5m-1790238600,46.84999999600438,0.48417197789061495,False
30,btc-updown-5m-1790238900,-82.21519501779534,0.11751085349671878,False
30,eth-updown-5m-1790238900,-10.0,0.12188148129717849,True
30,sol-updown-5m-1790238900,-20.0,0.1485832475222139,False
30,btc-updown-5m-1790239200,340.79812700038536,0.6266168067396015,False
30,eth-updown-5m-1790239200,-5.88,0.5883680705780313,False
30,btc-updown-5m-1790239500,129.8540009973315,0.5481471201453995,False
30,btc-updown-15m-1790239500,-129.044970999978,0.5122107547873107,False
30,eth-updown-5m-1790239500,30.0398,0.542183199338916,False
30,sol-updown-5m-1790239500,6.0,0.46110391884951457,False
30,btc-updown-5m-1790239800,-1187.3352179979881,0.2867572750670843,False
30,eth-updown-5m-1790239800,-34.149999998400006,0.46293898564444935,True
30,btc-updown-5m-1790240100,-216.32949700004684,0.46033818905873336,True
30,btc-updown-5m-1790240400,507.5269070098626,0.7613064819430059,False
30,btc-updown-15m-1790240400,4.1706,0.6303249959021207,False
30,eth-updown-5m-1790240400,-6.9495000000000005,0.7967741935483872,False
30,sol-updown-5m-1790240400,32.441099999900004,0.8355912275866855,False
30,btc-updown-5m-1790240700,-298.6888789917223,0.6713157482753764,True
30,eth-updown-5m-1790240700,-2.48,0.6369194385328412,True
30,btc-updown-5m-1790241000,49.52633999918403,0.4103127290160133,False
30,eth-updown-5m-1790241000,-12.127143000374287,0.4070781460919497,False
30,btc-updown-5m-1790241300,-236.54387200851554,0.3770169066146195,False
30,btc-updown-15m-1790241300,-69.90013400000011,0.4689536251329461,False
30,eth-updown-5m-1790241300,-20.3747,0.3874273604359024,False
30,eth-updown-15m-1790241300,-41.54577800002225,0.46218963720116624,False
30,sol-updown-5m-1790241300,-22.4,0.3227820936875114,False
30,btc-updown-5m-1790241600,-60.614134000126484,0.7790473825086621,False
30,eth-updown-5m-1790241600,-10.0,0.7961000145395429,False
30,btc-updown-5m-1790241900,-227.7928589996457,0.49173077021004563,False
30,eth-updown-5m-1790241900,-35.444388999706995,0.48177646616361985,False
30,sol-updown-5m-1790241900,-10.47439999980386,0.4691433661021837,True
30,btc-updown-5m-1790242200,-310.22887901551945,0.258108063578277,False
30,btc-updown-15m-1790242200,5.579093999958385,0.398157679126169,False
30,eth-updown-5m-1790242200,-36.46487099911661,0.22995273355620044,False
30,eth-updown-15m-1790242200,-37.08530600008637,0.4094703502378696,False
30,sol-updown-5m-1790242200,-3.919999999933327,0.2653337246968871,False
30,btc-updown-5m-1790242500,-1382.0518290608422,0.741561711165444,True
30,eth-updown-5m-1790242500,5.614066000293715,0.46696497768896505,True
30,sol-updown-5m-1790242500,-10.154445000012991,0.7058453868190538,True
30,btc-updown-5m-1790242800,-210.25092299585205,0.5309721933668686,False
30,eth-updown-5m-1790242800,9.43,0.5151325000662628,False
30,btc-updown-5m-1790243100,-93.32816299565181,0.6623449253681201,False
30,btc-updown-15m-1790243100,-5.159046000371106,0.6007871905980628,True
30,eth-updown-15m-1790243100,-29.979135999470607,0.5523077343124203,True
30,sol-updown-5m-1790243100,-6.41,0.7086486486486486,True
30,btc-updown-5m-1790243400,-828.2412729913707,0.7629878983546898,True
30,eth-updown-5m-1790243400,18.33157899905263,0.785702476903363,True
30,sol-updown-5m-1790243400,-7.920000000000001,0.7976346418909637,True
30,btc-updown-5m-1790243700,-94.29852399144842,0.6418211598955117,True
30,eth-updown-5m-1790243700,27.13870899982233,0.71069729241471,False
30,sol-updown-5m-1790243700,-5.275625,0.625492957746479,False
30,btc-updown-5m-1790244000,-1311.2970749688036,0.5706532028618043,True
30,btc-updown-15m-1790244000,4.308476994923382,0.5369432302138567,False
30,eth-updown-5m-1790244000,23.599999999999998,0.5721440673457686,True
30,eth-updown-15m-1790244000,-17.12,0.5444299346932697,False
30,sol-updown-5m-1790244000,2.88,0.5223378252897867,False
30,btc-updown-5m-1790244300,-174.24490198954413,0.3539623509102948,False
30,btc-updown-5m-1790244600,-235.32707799950805,0.6883568921044775,False
30,btc-updown-5m-1790244900,-46.06677899902067,0.707765955431433,True
30,btc-updown-15m-1790244900,-94.9669,0.612608207545216,True
30,eth-updown-15m-1790244900,-32.7248,0.6294887525562373,True
30,sol-updown-15m-1790244900,-220.57538600038467,0.6300000004186681,True
30,btc-updown-5m-1790245200,-111.44715799976906,0.3844899823226677,False
30,btc-updown-5m-1790245500,-117.75545698681566,0.4449652536732437,False
