duration,group,bin_start_s,n_fills,share_of_group_fills
5m,autres,255,45351,0.01555265581034066
5m,autres,260,46268,0.015867131464197957
5m,autres,265,32440,0.011124962062301845
5m,autres,270,27812,0.009537837388308844
5m,autres,275,26556,0.009107105195021203
5m,autres,280,17433,0.005978466819732061
5m,autres,285,12457,0.004271999149509682
5m,autres,290,9303,0.003190367511269854
5m,autres,295,6451,0.0022123036456198892
15m,top10_heure,-60,4,0.00026012876373805033
15m,top10_heure,-55,12,0.000780386291214151
15m,top10_heure,-50,3,0.00019509657280353775
15m,top10_heure,-45,15,0.0009754828640176887
15m,top10_heure,-40,34,0.002211094491773428
15m,top10_heure,-35,2,0.00013006438186902516
15m,top10_heure,-30,5,0.0003251609546725629
15m,top10_heure,-25,47,0.0030565129739220914
15m,top10_heure,-20,11,0.0007153541002796384
15m,top10_heure,-15,11,0.0007153541002796384
15m,top10_heure,-10,14,0.0009104506730831761
15m,top10_heure,-5,32,0.0020810301099044026
15m,top10_heure,0,71,0.004617285556350393
15m,top10_heure,5,203,0.013201534759706054
15m,top10_heure,10,152,0.009884893022045912
15m,top10_heure,15,126,0.008194056057748585
15m,top10_heure,20,163,0.010600247122325551
15m,top10_heure,25,73,0.0047473499382194185
15m,top10_heure,30,82,0.005332639656630032
15m,top10_heure,35,95,0.006178058138778695
15m,top10_heure,40,97,0.0063081225206477205
15m,top10_heure,45,71,0.004617285556350393
15m,top10_heure,50,88,0.005722832802237107
15m,top10_heure,55,62,0.00403199583793978
15m,top10_heure,60,83,0.005397671847564544
15m,top10_heure,65,140,0.009104506730831761
15m,top10_heure,70,106,0.006893412239058334
15m,top10_heure,75,68,0.004422188983546856
15m,top10_heure,80,87,0.005657800611302595
15m,top10_heure,85,79,0.005137543083826494
15m,top10_heure,90,59,0.0038368992651362423
15m,top10_heure,95,84,0.005462704038499057
15m,top10_heure,100,44,0.0028614164011185536
15m,top10_heure,105,39,0.0025362554464459907
15m,top10_heure,110,99,0.006438186902516746
15m,top10_heure,115,51,0.0033166417376601417
15m,top10_heure,120,90,0.005852897184106132
15m,top10_heure,125,86,0.005592768420368082
15m,top10_heure,130,117,0.007608766339337972
15m,top10_heure,135,72,0.004682317747284906
15m,top10_heure,140,66,0.00429212460167783
15m,top10_heure,145,54,0.0035117383104636794
15m,top10_heure,150,69,0.004487221174481368
15m,top10_heure,155,64,0.004162060219808805
15m,top10_heure,160,56,0.0036418026923327046
15m,top10_heure,165,33,0.002146062300838915
15m,top10_heure,170,69,0.004487221174481368
15m,top10_heure,175,54,0.0035117383104636794
15m,top10_heure,180,71,0.004617285556350393
15m,top10_heure,185,83,0.005397671847564544
15m,top10_heure,190,67,0.004357156792612343
15m,top10_heure,195,68,0.004422188983546856
15m,top10_heure,200,64,0.004162060219808805
15m,top10_heure,205,55,0.003576770501398192
15m,top10_heure,210,67,0.004357156792612343
15m,top10_heure,215,54,0.0035117383104636794
15m,top10_heure,220,49,0.0031865773557911165
15m,top10_heure,225,44,0.0028614164011185536
15m,top10_heure,230,58,0.0037718670742017298
15m,top10_heure,235,46,0.0029914807829875788
15m,top10_heure,240,54,0.0035117383104636794
15m,top10_heure,245,73,0.0047473499382194185
15m,top10_heure,250,71,0.004617285556350393
15m,top10_heure,255,62,0.00403199583793978
15m,top10_heure,260,67,0.004357156792612343
15m,top10_heure,265,45,0.002926448592053066
15m,top10_heure,270,40,0.0026012876373805033
15m,top10_heure,275,62,0.00403199583793978
15m,top10_heure,280,54,0.0035117383104636794
15m,top10_heure,285,77,0.005007478701957469
15m,top10_heure,290,69,0.004487221174481368
15m,top10_heure,295,59,0.0038368992651362423
15m,top10_heure,300,44,0.0028614164011185536
15m,top10_heure,305,94,0.006113025947844183
15m,top10_heure,310,49,0.0031865773557911165
15m,top10_heure,315,66,0.00429212460167783
15m,top10_heure,320,83,0.005397671847564544
15m,top10_heure,325,62,0.00403199583793978
15m,top10_heure,330,46,0.0029914807829875788
15m,top10_heure,335,56,0.0036418026923327046
15m,top10_heure,340,46,0.0029914807829875788
15m,top10_heure,345,44,0.0028614164011185536
15m,top10_heure,350,58,0.0037718670742017298
15m,top10_heure,355,48,0.003121545164856604
15m,top10_heure,360,74,0.004812382129153931
15m,top10_heure,365,67,0.004357156792612343
