duree,instant,sigma,n,brier,logloss,auc,accuracy,pente_calibration
tous,S+60,corr,4224,0.212381,0.612172,0.722102,0.657197,1.05614
tous,S+120,park,4224,0.185473,0.562894,0.795829,0.713778,0.712212
tous,S+120,ewma,4224,0.185112,0.556943,0.796816,0.713778,0.72533
tous,S+120,tfm,4224,0.184155,0.549124,0.796896,0.713778,0.948077
tous,S+120,park_k,4224,0.185766,0.552138,0.795829,0.713778,1.12225
tous,S+120,ewma_k,4224,0.184247,0.546122,0.796816,0.713778,1.06123
tous,S+120,tfm_k,4224,0.185857,0.551565,0.796896,0.713778,1.2093
tous,S+120,corr,4224,0.18388,0.545407,0.797391,0.715199,1.04025
tous,E-90,park,4224,0.0854181,0.286822,0.953185,0.883523,0.80162
tous,E-90,ewma,4224,0.0851936,0.283157,0.954195,0.883523,0.783522
tous,E-90,tfm,4224,0.0861973,0.279902,0.953215,0.883523,1.05596
tous,E-90,park_k,4224,0.0876763,0.284634,0.953185,0.883523,1.25637
tous,E-90,ewma_k,4224,0.0858031,0.277597,0.954195,0.883523,1.12709
tous,E-90,tfm_k,4224,0.0886534,0.287769,0.953215,0.883523,1.35504
tous,E-90,corr,4224,0.0854786,0.276495,0.954215,0.882576,1.07806
tous,E-60,park,4224,0.0517947,0.175087,0.982166,0.924716,0.902317
tous,E-60,ewma,4224,0.0520929,0.174136,0.982297,0.924716,0.870405
tous,E-60,tfm,4224,0.0526466,0.17389,0.982231,0.924716,1.18002
tous,E-60,park_k,4224,0.0540702,0.180684,0.982166,0.924716,1.39051
tous,E-60,ewma_k,4224,0.0530501,0.174582,0.982297,0.924716,1.23181
tous,E-60,tfm_k,4224,0.0548221,0.183349,0.982231,0.924716,1.51037
tous,E-60,corr,4224,0.0522705,0.171382,0.982541,0.923769,1.12887
tous,E-30,park,4224,0.0189961,0.0620579,0.997707,0.972301,0.995451
tous,E-30,ewma,4224,0.0191896,0.0620833,0.99774,0.972301,0.962804
tous,E-30,tfm,4224,0.0191073,0.0622754,0.997736,0.972301,1.23338
tous,E-30,park_k,4224,0.0195054,0.0652138,0.997707,0.972301,1.43614
tous,E-30,ewma_k,4224,0.019218,0.0625045,0.99774,0.972301,1.27805
tous,E-30,tfm_k,4224,0.0197716,0.0663397,0.997736,0.972301,1.54907
tous,E-30,corr,4224,0.0183944,0.0600503,0.997906,0.975379,1.26594
tous,E-10,park,4224,0.0156718,0.0770633,0.998756,0.980824,0.682501
tous,E-10,ewma,4224,0.0156445,0.0785522,0.99856,0.980824,0.677256
