duree,instant,variante,n,brier_formule,brier_marche,d_brier,d_brier_lo,d_brier_hi,logloss_formule,logloss_marche,d_logloss,d_logloss_lo,d_logloss_hi,auc_formule,auc_marche,justesse_formule,justesse_marche,n_vwap,brier_formule_vwap,brier_marche_vwap,age_median_s,pente_calibration_formule,pente_calibration_marche
15m,E-10,brute,1046,0.0125774,0.00386344,0.00871398,0.00220366,0.0140809,0.0663341,0.0175243,0.0488098,0.0143452,0.0821985,0.997565,0.999905,0.984704,0.994264,192,0.0685206,0.0216535,16,0.719261,1.55877
15m,E-10,corrigée,1046,0.00925171,0.00386344,0.00538827,0.000933622,0.0102702,0.030992,0.0175243,0.0134677,-0.00115902,0.0283474,0.99955,0.999905,0.98566,0.994264,192,0.0497039,0.0216535,16,1.01028,1.55877
tous,S-45,brute,4171,0.249581,0.24919,0.000391647,-0.00042732,0.00118149,0.69231,0.691526,0.000784094,-0.000860456,0.00236677,0.532839,0.533881,0.520259,0.519779,2555,0.249592,0.248949,2,1.57892,1.33733
tous,S-45,corrigée,4171,0.249537,0.24919,0.00034741,-0.000476344,0.00114404,0.692222,0.691526,0.000695273,-0.000954928,0.00228897,0.535259,0.533881,0.526732,0.519779,2555,0.249553,0.248949,2,1.57241,1.33733
tous,S-30,brute,4175,0.248985,0.248557,0.000427483,-0.000548185,0.00142186,0.691177,0.690266,0.000911454,-0.00111188,0.00296497,0.536733,0.542619,0.525749,0.526467,2914,0.248546,0.247828,2,0.815301,1.22332
tous,S-30,corrigée,4175,0.248858,0.248557,0.000300963,-0.000615869,0.00118158,0.690892,0.690266,0.000626745,-0.00124171,0.00244677,0.537503,0.542619,0.525988,0.526467,2914,0.24838,0.247828,2,0.975289,1.22332
tous,S-20,brute,4180,0.248271,0.248216,5.4693e-05,-0.0012003,0.00114837,0.689866,0.689578,0.000288714,-0.00219011,0.00256609,0.552712,0.549706,0.538756,0.537081,3400,0.247686,0.247742,1,0.723922,0.925983
tous,S-20,corrigée,4180,0.247993,0.248216,-0.000222622,-0.00129778,0.00075509,0.68921,0.689578,-0.000367867,-0.00252247,0.0016494,0.553887,0.549706,0.54067,0.537081,3400,0.247415,0.247742,1,0.890751,0.925983
tous,S-10,brute,4180,0.246752,0.246632,0.000119509,-0.00131315,0.00143072,0.686517,0.686339,0.000177247,-0.00285334,0.00292439,0.565875,0.564535,0.552392,0.544498,3350,0.247284,0.247258,1,0.731552,0.947276
tous,S-10,corrigée,4180,0.246223,0.246632,-0.000409452,-0.00156489,0.000759835,0.685428,0.686339,-0.000911725,-0.00324729,0.0014686,0.56679,0.564535,0.551435,0.544498,3350,0.246525,0.247258,1,0.917351,0.947276
tous,S-5,brute,4180,0.246646,0.246384,0.000262117,-0.0011842,0.00162395,0.686362,0.685815,0.000546445,-0.00257689,0.00335796,0.571883,0.567011,0.562679,0.552871,3773,0.246587,0.245422,0,0.671253,0.835431
tous,S-5,corrigée,4180,0.245783,0.246384,-0.000600642,-0.00181596,0.000532297,0.684499,0.685815,-0.00131592,-0.00385764,0.00102397,0.572585,0.567011,0.561244,0.552871,3773,0.245587,0.245422,0,0.852152,0.835431
tous,S-2,brute,4180,0.245626,0.245455,0.000171539,-0.00155186,0.00172177,0.684736,0.683945,0.000791145,-0.00296117,0.00404073,0.583185,0.577579,0.569139,0.561722,3772,0.244875,0.24465,0,0.679864,0.862237
tous,S-2,corrigée,4180,0.244796,0.245455,-0.000659167,-0.00203999,0.00073049,0.68267,0.683945,-0.00127436,-0.00418441,0.00168657,0.583513,0.577579,0.567943,0.561722,3772,0.244056,0.24465,0,0.867019,0.862237
tous,S,brute,4180,0.244651,0.244171,0.000479936,-0.00121985,0.00218322,0.682827,0.68134,0.00148736,-0.00229086,0.00521633,0.589865,0.588126,0.572967,0.573206,3907,0.244356,0.2445,0,0.691528,0.927975
tous,S,corrigée,4180,0.243842,0.244171,-0.000329255,-0.00178019,0.00108034,0.680705,0.68134,-0.000634884,-0.00372387,0.00233,0.589879,0.588126,0.570335,0.573206,3907,0.243506,0.2445,0,0.884226,0.927975
tous,S+2,brute,4180,0.243042,0.243259,-0.000216503,-0.00216456,0.00149538,0.67964,0.679458,0.000181971,-0.00440903,0.00388335,0.599897,0.594032,0.573684,0.57488,3823,0.241985,0.24329,1,0.707094,0.949287
tous,S+2,corrigée,4180,0.24223,0.243259,-0.00102934,-0.0024941,0.000346721,0.677369,0.679458,-0.00208825,-0.00529456,0.000698527,0.599525,0.594032,0.5689,0.57488,3823,0.241273,0.24329,1,0.914187,0.949287
tous,S+5,brute,4180,0.242547,0.241136,0.00141135,-0.000362257,0.00311007,0.678657,0.675085,0.00357242,-0.000477734,0.00743771,0.603722,0.607398,0.574402,0.577512,4104,0.242793,0.241445,1,0.686041,0.904471
tous,S+5,corrigée,4180,0.241385,0.241136,0.000249482,-0.00112005,0.00163209,0.67557,0.675085,0.000485386,-0.00241911,0.00347526,0.603567,0.607398,0.569856,0.577512,4104,0.241539,0.241445,1,0.898033,0.904471
tous,S+10,brute,4180,0.238436,0.237529,0.000907284,-0.00060321,0.00233829,0.670244,0.667591,0.0026522,-0.000817975,0.00609939,0.627465,0.627304,0.594019,0.593301,4096,0.238111,0.23837,0,0.736926,0.91732
tous,S+10,corrigée,4180,0.237572,0.237529,4.26538e-05,-0.00103267,0.00106964,0.667565,0.667591,-2.62036e-05,-0.00247121,0.00213717,0.626749,0.627304,0.592105,0.593301,4096,0.237272,0.23837,0,0.977287,0.91732
tous,S+30,brute,4180,0.226278,0.224918,0.00135974,-0.000261683,0.00297254,0.644502,0.640718,0.00378358,-0.000867784,0.00776051,0.679991,0.683048,0.638038,0.637321,4024,0.225561,0.225604,0,0.79387,1.03498
tous,S+30,corrigée,4180,0.225847,0.224918,0.00092862,-0.000302356,0.00223467,0.642258,0.640718,0.00154003,-0.00131441,0.0043976,0.679446,0.683048,0.63445,0.637321,4024,0.225147,0.225604,0,1.08585,1.03498
tous,S+60,brute,4182,0.214081,0.21288,0.00120093,-0.000600077,0.00304508,0.619393,0.613122,0.00627096,0.000928104,0.0121492,0.720427,0.719784,0.653276,0.655189,3972,0.212069,0.211794,0,0.746546,0.997744
tous,S+60,corrigée,4182,0.212802,0.21288,-7.80075e-05,-0.00170605,0.00130742,0.613101,0.613122,-2.09296e-05,-0.00382459,0.00310359,0.720686,0.719784,0.656385,0.655189,3972,0.210902,0.211794,0,1.0485,0.997744
tous,S+120,brute,4182,0.185664,0.182238,0.00342585,0.00171992,0.0051715,0.558419,0.540038,0.0183814,0.0116212,0.0250472,0.795645,0.800148,0.712817,0.717599,3950,0.182429,0.179445,0,0.721465,0.999103
tous,S+120,corrigée,4182,0.184373,0.182238,0.00213485,0.000863039,0.00356261,0.546584,0.540038,0.00654594,0.00252576,0.0100505,0.796196,0.800148,0.714252,0.717599,3950,0.181284,0.179445,0,1.03491,0.999103
tous,E-90,brute,4182,0.085462,0.083629,0.00183299,0.000234663,0.00358531,0.283364,0.269144,0.0142195,0.00614594,0.0242645,0.954029,0.955816,0.882831,0.881875,3604,0.0979943,0.0958745,0,0.78456,1.02436
tous,E-90,corrigée,4182,0.0857042,0.083629,0.00207521,0.000494383,0.00371564,0.27687,0.269144,0.00772601,0.00156331,0.0137285,0.954053,0.955816,0.881875,0.881875,3604,0.0983172,0.0958745,0,1.07929,1.02436
tous,E-60,brute,4182,0.0519212,0.0510506,0.000870585,-0.00118604,0.00286256,0.173229,0.169884,0.00334511,-0.00390639,0.0102682,0.982432,0.98273,0.924677,0.925873,3207,0.0677019,0.0683557,0,0.876536,1.13188
tous,E-60,corrigée,4182,0.052127,0.0510506,0.00107647,-0.000940739,0.00277465,0.170851,0.169884,0.000966817,-0.00436162,0.00577126,0.982673,0.98273,0.923721,0.925873,3207,0.0679693,0.0683557,0,1.13693,1.13188
tous,E-30,brute,4182,0.0193167,0.015922,0.00339471,0.00158083,0.00528504,0.0624275,0.0601048,0.00232278,-0.00342572,0.00788727,0.997714,0.998091,0.972023,0.979197,2425,0.0333065,0.0284142,2,0.959946,1.28278
tous,E-30,corrigée,4182,0.0184791,0.015922,0.00255715,0.00113701,0.00428663,0.0602685,0.0601048,0.000163721,-0.00428782,0.0047536,0.997881,0.998091,0.975132,0.979197,2425,0.0318631,0.0284142,2,1.25959,1.28278
tous,E-10,brute,4182,0.0155626,0.00451539,0.0110472,0.00804883,0.01406,0.0776795,0.0218807,0.0557988,0.0388498,0.0729026,0.998556,0.999703,0.98087,0.993544,1933,0.0336035,0.00972839,4,0.679092,1.44315
tous,E-10,corrigée,4182,0.0114515,0.00451539,0.00693614,0.00486455,0.00892423,0.0373218,0.0218807,0.0154411,0.00913115,0.0220333,0.999176,0.999703,0.983979,0.993544,1933,0.0246621,0.00972839,4,1.07664,1.44315
