cellule,stratégie,coupure,n,accuracy,ic95_bas,ic95_haut,ic95_cluster_bas,ic95_cluster_haut,p_binom,part_up_prédit,description,auc_variable,part_variable_nulle
SOL 5m,mom5_m30:retournement,S−30s (1s),2016,0.4871031746031746,0.46532937586058903,0.5089260310980557,0.4657365247589467,0.5084698244474025,0.25600935293789834,0.5128968253968254,"retournement — rendement des 5 dernières min, prix 1s à S−30 s",0.49603906508353934,0.02976190476190476
SOL 5m,mom15_m30:momentum,S−30s (1s),2016,0.49702380952380953,0.4752242868144068,0.5188346532529727,0.4756803444998638,0.5183672745477552,0.8064719594985453,0.5327380952380952,"momentum — rendement des 15 dernières min, prix 1s à S−30 s",0.4878155362738768,0.016865079365079364
SOL 5m,mom15_m30:retournement,S−30s (1s),2016,0.5009920634920635,0.4791846507127051,0.5227957025981684,0.4793834748729738,0.5226006521111533,0.9467309251324406,0.48412698412698413,"retournement — rendement des 15 dernières min, prix 1s à S−30 s",0.5121844637261231,0.016865079365079364
SOL 5m,gap_m30:momentum,S−30s (1s),2016,0.5143849206349206,0.49256100169423345,0.536154121313432,0.49297949904676286,0.5357903422230783,0.20425460305587448,0.5143849206349206,"momentum — prix à S−30 s − moyenne 1s sur (S−60, S−30] (TWAP partiel)",0.5200955072988678,0.000496031746031746
SOL 5m,gap_m30:retournement,S−30s (1s),2016,0.4851190476190476,0.46335142251934136,0.5069432778175563,0.4637597720332656,0.5064783232048297,0.18882133967292083,0.4861111111111111,"retournement — prix à S−30 s − moyenne 1s sur (S−60, S−30] (TWAP partiel)",0.4799044927011322,0.000496031746031746
SOL 5m,mom5_m0:momentum,S (1m) *,2016,0.5287698412698413,0.5069456124869491,0.550484633528382,0.5070086920709884,0.5505309904686941,0.01041184113681958,0.5297619047619048,"momentum — rendement des 5 dernières min, bougies 1m closes à S",0.5314463489913862,0.023313492063492064
SOL 5m,mom5_m0:retournement,S (1m) *,2016,0.47371031746031744,0.4519848550272308,0.49553578223462175,0.45214933183478195,0.49527130308585293,0.019337077974192422,0.4935515873015873,"retournement — rendement des 5 dernières min, bougies 1m closes à S",0.46855365100861374,0.023313492063492064
SOL 5m,mom15_m0:momentum,S (1m) *,2016,0.5124007936507936,0.490578334189498,0.5341760821964207,0.49112111798327185,0.5336804693183154,0.2751297576065377,0.5381944444444444,"momentum — rendement des 15 dernières min, bougies 1m closes à S",0.509717552714045,0.011408730158730158
SOL 5m,mom15_m0:retournement,S (1m) *,2016,0.4871031746031746,0.46532937586058903,0.5089260310980557,0.46551646836855715,0.508689880837792,0.25600935293789834,0.4732142857142857,"retournement — rendement des 15 dernières min, bougies 1m closes à S",0.490282447285955,0.011408730158730158
SOL 5m,gap_m0_1m:momentum,S (1m) *,2016,0.5694444444444444,0.5477177333947755,0.5909069983663685,0.5472140495352457,0.5916748393536432,4.860236762612703e-10,0.5109126984126984,"momentum — close 1m − VWAP 1m de la bougie [S−1m, S)",0.6028297875690912,0.0
SOL 5m,gap_m0_1m:retournement,S (1m) *,2016,0.4305555555555556,0.4090930016336315,0.4522822666052245,0.4083251606463568,0.45278595046475434,4.860236762612703e-10,0.48908730158730157,"retournement — close 1m − VWAP 1m de la bougie [S−1m, S)",0.3971702124309088,0.0
SOL 5m,gap_m0_1s:momentum,S (1s) *,2016,0.5654761904761905,0.5437335069729248,0.5869698115447253,0.5435618739566519,0.587390506995729,4.475365700070702e-09,0.49702380952380953,momentum — spot(S) − TWAP60(S) Binance (écart spot − TWAP),0.5966775191723226,0.000496031746031746
SOL 5m,gap_m0_1s:retournement,S (1s) *,2016,0.4340277777777778,0.41253796307288404,0.45576854175402914,0.4121651591109367,0.4558903964446189,3.41432768608391e-09,0.5034722222222222,retournement — spot(S) − TWAP60(S) Binance (écart spot − TWAP),0.4033224808276774,0.000496031746031746
SOL 15m,always_up,—,672,0.5238095238095238,0.48601998297709564,0.5613283897777038,0.4860480894362651,0.5615709581827826,0.23172992177366336,1.0,toujours Up,,
SOL 15m,always_down,—,672,0.47619047619047616,0.4386716102222963,0.5139800170229044,0.4384290418172174,0.5139519105637349,0.23172992177366336,0.0,toujours Down,,
