slug,duree,ecart_pb,n_achats_apres,n_marge_pos_apres,parts_marge_pos_apres,profit_apres,prix_min_apres,delai_median_s_apres,n_achats_avant,n_marge_pos_avant,parts_marge_pos_avant,profit_avant,prix_min_avant,delai_median_s_avant
btc-updown-5m-1788515100,5m,-7.64313,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788515400,5m,-0.455772,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788515700,5m,-6.28514,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788516000,15m,-12.8913,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788516000,5m,6.28743,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788516300,5m,-19.3157,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788516600,5m,0.149364,3,3,848.842,7.90017,0.99,0,31,31,634.356,7.01574,0.95,-2
btc-updown-15m-1788516900,15m,0.470709,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788516900,5m,-11.93,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788517200,5m,-1.31019,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788517500,5m,13.7275,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788517800,15m,14.8875,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788517800,5m,4.84396,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788518100,5m,11.6626,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788518400,5m,-1.622,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788518700,15m,13.4932,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788518700,5m,2.6897,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788519000,5m,-2.8476,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788519300,5m,13.652,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788519600,15m,3.95382,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788519600,5m,-10.1052,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788519900,5m,9.79006,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788520200,5m,4.27902,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788520500,15m,22.4489,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788520500,5m,-5.81149,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788520800,5m,14.2205,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788521100,5m,14.0364,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788521400,15m,-18.2725,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788521400,5m,-15.7964,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788521700,5m,3.79834,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788522000,5m,-6.27597,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788522300,15m,-0.319646,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788522300,5m,3.24721,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788522600,5m,1.38204,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788522900,5m,-4.94705,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788523200,15m,-0.491085,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788523200,5m,-3.72908,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788523500,5m,5.91313,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788523800,5m,-2.67235,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788524100,15m,7.51724,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788524100,5m,-9.90885,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788524400,5m,5.03433,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788524700,5m,12.4028,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788525000,15m,-188.043,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788525000,5m,-171.769,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788525300,5m,-5.54093,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788525600,5m,-11.0238,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788525900,15m,-38.5939,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788525900,5m,-40.8533,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788526200,5m,24.9661,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788526500,5m,-22.6408,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788526800,15m,-26.4501,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788526800,5m,-0.309224,23,23,1621.55,18.1816,0.98,0,53,53,1799.81,45.1207,0.95,-2
btc-updown-5m-1788527100,5m,-8.09947,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788527400,5m,-18.0568,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788527700,15m,9.18952,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788527700,5m,15.524,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788528000,5m,6.37147,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788528300,5m,-12.688,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788528600,15m,9.41104,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788528600,5m,-4.39574,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788528900,5m,6.3873,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788529200,5m,7.42081,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788529500,15m,-4.47792,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788529500,5m,32.4196,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788529800,5m,-45.2386,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788530100,5m,8.4988,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788530400,15m,10.4007,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788530400,5m,17.0602,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788530700,5m,-24.2344,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788531000,5m,17.629,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788531300,15m,-9.05303,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788531300,5m,-21.4319,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788531600,5m,3.823,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788531900,5m,8.57914,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788532200,15m,-47.0978,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788532200,5m,-0.877396,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788532500,5m,-7.53145,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788532800,5m,-38.7222,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788533100,15m,-6.11215,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788533100,5m,-32.6359,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788533400,5m,10.8099,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788533700,5m,15.7837,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788534000,15m,26.8554,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788534000,5m,6.34365,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788534300,5m,16.9145,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788534600,5m,3.57815,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788534900,15m,32.2276,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788534900,5m,12.8554,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788535200,5m,-2.02621,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788535500,5m,21.3779,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788535800,15m,14.3472,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788535800,5m,-2.71499,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788536100,5m,13.2205,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788536400,5m,3.84127,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788536700,15m,-12.9341,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788536700,5m,-10.7779,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788537000,5m,-2.0323,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788537300,5m,-0.126281,0,0,0,0,,,11,11,1392.97,12.9643,0.99,-2
btc-updown-15m-1788537600,15m,5.34715,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788537600,5m,1.5041,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788537900,5m,4.68159,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788538200,5m,-0.838718,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788538500,15m,10.0551,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788538500,5m,2.44098,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788538800,5m,3.47301,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788539100,5m,4.13783,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788539400,15m,36.1222,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788539400,5m,17.6742,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788539700,5m,3.39129,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788540000,5m,15.019,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788540300,15m,-8.69543,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788540300,5m,-3.80673,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788540600,5m,-5.99195,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788540900,5m,1.10205,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788541200,15m,-12.7028,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788541200,5m,-10.2962,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788541500,5m,2.32323,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788541800,5m,-4.73123,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788542100,15m,-16.458,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788542100,5m,-6.50112,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788542400,5m,-2.86187,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788542700,5m,-7.10349,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788543000,15m,-3.47653,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788543000,5m,-2.05591,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788543300,5m,7.33194,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788543600,5m,-8.74644,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788543900,15m,-1.63003,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788543900,5m,-1.64167,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788544200,5m,-6.20528,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788544500,5m,6.22079,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788544800,15m,5.07472,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788544800,5m,11.1867,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788545100,5m,-0.984895,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788545400,5m,-5.12078,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788545700,15m,2.40586,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788545700,5m,5.49489,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788546000,5m,1.33473,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788546300,5m,-4.42148,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788546600,15m,12.4813,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788546600,5m,9.16795,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788546900,5m,-4.64005,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788547200,5m,7.95408,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788547500,15m,-0.785445,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788547500,5m,-4.95404,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788547800,5m,2.95816,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788548100,5m,1.21214,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788548400,15m,8.42114,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788548400,5m,9.10807,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788548700,5m,0.917496,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788549000,5m,-1.60366,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788549300,15m,14.0118,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788549300,5m,9.47615,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788549600,5m,2.16649,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788549900,5m,2.36436,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788550200,15m,-18.3462,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788550200,5m,-8.61878,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788550500,5m,-12.0445,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788550800,5m,2.31153,0,0,0,0,,,0,0,0,0,,
