half,model,label,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,pnl_per_placed_ic_lo_adj,pnl_per_placed_ic_hi_adj,adverse_selection_ic_lo,adverse_selection_ic_hi,strategy,config,duration
2e moitié,hgb_m2,0.50/S+30,1927,1927,1170,0.6689154125583809,0.7897595034910784,0.21024049650892165,26.0,37.0,1927,-0.908147379346134,-1.3576415826221877,0.34995041980225544,-1750.0,0.4864235841737781,0.6551724137931034,-16.87488296193253,0.6441814570070652,0.6926453613953614,-2.838050591049817,1.10897234336336,-4.221602111272534,1.650922245121452,-3.965925512657004,2.2149444728015193,-21.60562774116632,-12.13539726551289,signal,,
2e moitié,hgb_m5,0.47/S+30,1576,1576,44,0.5260152284263959,0.9843184559710495,0.015681544028950542,33.0,41.0,1576,-1.5628172588832472,-2.971049457177317,0.3486631860036874,-2463.0,0.44028950542822676,0.6760374832663989,-23.574797783817214,0.49697928365153216,0.5538286836988487,-3.482070108656304,0.3845794018855231,-6.633110925771477,0.7089160815762758,-4.360394568747476,1.6182552849919738,-28.753930240996347,-18.32059580399084,signal,,
2e moitié,hgb_m5,0.48/S+30,1541,1541,79,0.5593770279039585,0.9733178654292344,0.02668213457076566,33.0,40.0,1541,-1.6716417910447752,-2.9883990719257523,0.34936597839826816,-2576.0,0.45011600928074247,0.6833578792341679,-23.324186995342544,0.5316034128974185,0.5872318035593846,-3.644470650594274,0.3848204802778798,-6.463295660786196,0.6787156492552953,-4.61267238432336,1.9039631362104572,-28.419943110447935,-18.390940485216206,signal,,
2e moitié,hgb_m5,0.49/S+30,1433,1433,187,0.5994417306350314,0.8777648428405123,0.12223515715948778,31.0,39.0,1433,-0.4822051639916256,-0.8044237485448201,0.34978563060379175,-691.0,0.4819557625145518,0.6846689895470384,-20.271322703248657,0.5719086186478466,0.6273053931192693,-2.5834876536416953,1.7797411616161616,-4.254460302988288,2.967706722093322,-3.962098585639724,3.465383336888378,-25.473278200894175,-15.054166828213,signal,,
2e moitié,hgb_m5,0.50/S+30,1088,1088,532,0.6424632352941176,0.7625178826895566,0.2374821173104435,27.0,37.0,1088,-0.9650735294117647,-1.502145922746781,0.34990857099443096,-1050.0,0.48497854077253216,0.6889460154241646,-20.39674746516324,0.6107472154806275,0.6745522891963109,-3.4563166428616343,1.6290614228400289,-5.438321700177101,2.6015117830146712,-5.05618681452997,3.1838580129871974,-26.22993105823093,-14.188583893379457,signal,,
2e moitié,gap_m30,0.47/S+30,3884,3884,340,0.576725025746653,0.9848214285714286,0.015178571428571428,33.0,40.0,3884,-1.7456230690010281,-3.026785714285711,0.34871157196297187,-6780.0,0.43973214285714285,0.6545012165450121,-21.47690736878693,0.5580600424734754,0.5956791510878975,-2.9746763000174408,-0.470332053451983,-5.187376397943357,-0.8122270978124634,-3.7324768784535016,0.12475932804000535,-24.753669819819798,-18.239576658105033,signal,,
2e moitié,gap_m30,0.48/S+30,3598,3598,626,0.6070038910505836,0.9725274725274725,0.027472527472527472,31.0,39.0,3598,-1.7042801556420222,-2.807692307692306,0.34941078451433477,-6132.0,0.4519230769230769,0.6548797736916548,-20.29566967685779,0.5876000547476902,0.6257603309186192,-3.0219034546548524,-0.3408769883128234,-4.961190790003011,-0.5616233575498036,-3.9506055002040283,0.3709342037649049,-23.789562689319467,-16.95529483016344,signal,,
2e moitié,gap_m30,0.49/S+30,3042,3042,1182,0.6341222879684418,0.9072058061171592,0.09279419388284085,29.0,37.0,3042,-1.1574621959237343,-1.8252980819077242,0.3498417534499512,-3521.0,0.47174701918092277,0.6657681940700808,-19.402117488915806,0.6132669057862363,0.6540275960051231,-2.641449640621537,0.345280020322605,-4.1725017144665815,0.5438065636590356,-3.684525191057654,1.0408434355274319,-23.189495699200233,-15.613829848063371,signal,,
2e moitié,gap_m30,0.50/S+30,2019,2019,2205,0.6523031203566122,0.8428246013667426,0.1571753986332574,28.0,37.0,2019,-0.9162951956414067,-1.404707668944571,0.34997326372079285,-1850.0,0.4859529233105543,0.6623931623931624,-17.64402390826081,0.6272592816311666,0.6778287735953212,-2.79048170560506,0.9439242160278744,-4.217284240150094,1.4476742014775381,-3.739430912078774,2.1637983783188734,-22.448796526829184,-13.02763687902667,signal,,
2e moitié,hgb_m0,0.47/S+60,3986,3986,238,0.6746111389864525,0.9840089252510227,0.015991074748977315,33.0,45.0,3986,-1.3253888610135451,-1.9646708813685343,0.34871631877912124,-5283.0,0.4503532911863146,0.6931380107941403,-24.278471960782568,0.6577542177503685,0.6909373954216155,-2.6961202750632105,0.06351006360380333,-3.972892300708783,0.09385665337483846,-3.6199540951951903,0.808433536680003,-27.605911694963073,-20.869456831590274,signal,,
