slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-5m-1789110600,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789110540.0,1789110600.0,91.0,False,True,True,1789110588.0,48.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789110900,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789110840.0,1789110900.0,100.0,False,True,True,1789110847.0,7.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789110900,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789110840.0,1789110900.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789111200,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789111140.0,1789111200.0,100.0,False,True,True,1789111179.0,39.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789111200,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789111140.0,1789111200.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789111500,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789111440.0,1789111500.0,100.0,False,True,True,1789111492.0,52.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789111500,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789111440.0,1789111500.0,91.0,False,True,True,1789111470.0,30.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789111800,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789111740.0,1789111800.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789111800,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789111740.0,1789111800.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789112100,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789112040.0,1789112100.0,100.0,False,True,True,1789112086.0,46.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789112100,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789112040.0,1789112100.0,91.0,False,True,True,1789112047.0,7.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789112400,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789112340.0,1789112400.0,100.0,False,True,True,1789112368.0,28.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789112400,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789112340.0,1789112400.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789112700,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789112640.0,1789112700.0,100.0,False,True,True,1789112698.0,58.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789112700,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789112640.0,1789112700.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789113000,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789112940.0,1789113000.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789113000,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789112940.0,1789113000.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789113300,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789113240.0,1789113300.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789113300,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789113240.0,1789113300.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789113600,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789113540.0,1789113600.0,100.0,False,True,True,1789113558.0,18.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789113600,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789113540.0,1789113600.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789113900,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789113840.0,1789113900.0,100.0,False,True,True,1789113882.0,42.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789113900,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789113840.0,1789113900.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789114200,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789114140.0,1789114200.0,100.0,False,True,True,1789114182.0,42.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789114200,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789114140.0,1789114200.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789114500,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789114440.0,1789114500.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789114500,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789114440.0,1789114500.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789114800,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789114740.0,1789114800.0,100.0,False,True,True,1789114771.0,31.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789114800,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789114740.0,1789114800.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789115100,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789115040.0,1789115100.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789115100,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789115040.0,1789115100.0,91.0,False,True,True,1789115055.0,15.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789115400,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789115340.0,1789115400.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789115400,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789115340.0,1789115400.0,91.0,False,True,True,1789115391.0,51.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789115700,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789115640.0,1789115700.0,100.0,True,False,False,,,,0.0,0.0,,,,,
btc-updown-5m-1789115700,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789115640.0,1789115700.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789116000,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789115940.0,1789116000.0,100.0,False,True,True,1789115997.0,57.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789116000,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789115940.0,1789116000.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789116300,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789116240.0,1789116300.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789116300,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789116240.0,1789116300.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789116600,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789116540.0,1789116600.0,100.0,False,True,True,1789116586.0,46.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789116600,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789116540.0,1789116600.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
